category,name,description,price_DA,image_url
CAFÉ,Cappuccino personnalisée photo,,700,https://tablebeep.com/public-image.php?id=4536
CAFÉ,Cappuccino Brûlée,,600,
CAFÉ,Mocaccino,,600,
CAFÉ,Latte Macchiato (vanille-caramel-noisette),,600,https://tablebeep.com/public-image.php?id=4539
CAFÉ,The Infusion,,300,
CAFÉ,Chocolat Chaud,,600,https://tablebeep.com/public-image.php?id=4541
CAFÉ,Hot Milk,,250,https://tablebeep.com/public-image.php?id=4542
CAFÉ,Americano,,400,
CAFÉ,Matcha Latte,,600,
CAFÉ,Caramel Latte,,650,
CAFÉ,Vanilla Latte,,650,
CAFÉ,Pistachio Latte,,750,
CAFÉ,Spanish Latte,,700,
ICED LATTE,Iced Americano,,600,https://tablebeep.com/public-image.php?id=4550
ICED LATTE,Iced Spanish Latte,,750,
ICED LATTE,Iced Caramel Latte,,700,
ICED LATTE,Iced Speculos Latte,,750,
ICED LATTE,Iced Vanilla Latte,,700,
ICED LATTE,Iced Tiramisu Latte,,800,https://tablebeep.com/public-image.php?id=4555
ICED LATTE,Iced Coconut Latte,,700,
ICED LATTE,Iced Pistachio Latte,,750,
ICED LATTE,Iced Matcha Latte,,600,https://tablebeep.com/public-image.php?id=4558
ICED LATTE,Iced Strawberry Matcha,,750,https://tablebeep.com/public-image.php?id=4559
ICED LATTE,Mango Matcha,,750,
ICED LATTE,Iced Ube Latte,,600,https://tablebeep.com/public-image.php?id=4561
ICED LATTE,Iced Ube Caramel,,750,https://tablebeep.com/public-image.php?id=4562
ICED LATTE,Iced Ube Vanille,,750,
ICED LATTE,Iced Ube Pistachio,,750,https://tablebeep.com/public-image.php?id=4564
FRAPPÉ,Frappuccino Caramel,,650,
FRAPPÉ,Frappuccino Choco,,650,
FRAPPÉ,Frappuccino Cookies,,700,
MILKSHAKE,Milkshake Banane-Spéculoos,,800,https://tablebeep.com/public-image.php?id=4568
MILKSHAKE,Milkshake Fruits Rouges,,750,https://tablebeep.com/public-image.php?id=4569
MILKSHAKE,Milkshake Crumble Cookies,,750,https://tablebeep.com/public-image.php?id=4570
MILKSHAKE,Milkshake Mangue,"Mangue fraîche, texture onctueuse",800,https://tablebeep.com/public-best-seller.php?id=38
COCKTAIL CUBAIN,Mojito Classique,,650,https://tablebeep.com/public-image.php?id=4571
COCKTAIL CUBAIN,Mojito Fruits Rouges,,750,https://tablebeep.com/public-image.php?id=4572
COCKTAIL CUBAIN,Yuzu Fizz,,700,
SMOOTHIE,Smoothie Banane,,750,https://tablebeep.com/public-image.php?id=4574
SMOOTHIE,Smoothie Fraise,,750,https://tablebeep.com/public-image.php?id=4575
JUS PRESSÉS,Jus D'Orange,,600,https://tablebeep.com/public-image.php?id=4576
JUS PRESSÉS,Citronade,,650,https://tablebeep.com/public-image.php?id=4577
JUS PRESSÉS,Jus De Fruit De Saison,,700,https://tablebeep.com/public-image.php?id=4578
MOCKTAILS,Pinacolada,,700,https://tablebeep.com/public-image.php?id=4579
MOCKTAILS,Blush,,700,https://tablebeep.com/public-image.php?id=4580
MOCKTAILS,Ocean Wave,,750,https://tablebeep.com/public-image.php?id=4581
MOCKTAILS,Eau,,100,
